Variable 1,Variable 2,Correlation,p-value
1960_treat_17,1960_treat_19,0.4846153846153846,3.2439348574890346e-05
1960_treat_10,1960_treat_18,0.4763644370889549,4.6052452936031494e-05
fireplace,1960_treat_7,0.4716231339669553,5.6098628912181675e-05
Cap Deterioration,Height,0.4705753344987504,5.8576280304764964e-05
1960_treat_9,1960_treat_10,0.46240683194223886,8.16535512759929e-05
Out of Plane,Bracing,0.45773228583303327,9.837829614760852e-05
1960_treat_6,1960_treat_9,0.4506809768540658,0.00012965126598846668
Coat2 Cracking,Lintel Deteriration,-0.4368088364323362,0.0002193429864004811
Height,1960_treat_13,-0.4315637537631754,0.00026603870899414434
Coat2 Cracking,Coat2 Loss,0.4305557812873584,0.0002759930535282206
SILL 2,PC mean,-0.4188223766987264,0.00041975384505924315
ele 2 foundation displ,1960_treat_18,0.41850105478829314,0.000424511175899015
PC deviation,1960_treat_1,0.41421850028607426,0.0004927874340280032
PC deviation,1960_treat_2,0.41421850028607426,0.0004927874340280032
ele 2 foundation mortar condition,1960_treat_1,-0.39914743651132273,0.0008201409310144289
ele 2 foundation mortar condition,1960_treat_2,-0.39914743651132273,0.0008201409310144289
treatment_9,1960_treat_8,0.39578195593452287,0.0009159968636863424
1960_treat_8,1960_treat_17,0.39578195593452287,0.0009159968636863424
ele 2 foundation mortar condition,1960_treat_18,0.3956690350823477,0.0009193820351520983
elev 1 foundation disp,ele 2 foundation mortar condition,0.39531816287988875,0.0009299729342172064
fireplace,1960_treat_11,0.3950188758143892,0.0009390938593764689
fireplace,1960_treat_12,0.3950188758143892,0.0009390938593764689
fireplace,1960_treat_14,0.3950188758143892,0.0009390938593764689
Coat 1 Cracking,Lintel Deteriration,0.38900292056347224,0.0011404582207121148
treatment_6,1960_treat_5,0.3862723769652047,0.0012441005038423755
treatment_3,treatment_16,0.38610688370064794,0.0012506468418421585
treatment_3,treatment_17,0.38610688370064794,0.0012506468418421585
treatment_3,treatment_18,0.38610688370064794,0.0012506468418421585
treatment_3,treatment_19,0.38610688370064794,0.0012506468418421585
1960_treat_16,1960_treat_19,0.38610688370064794,0.0012506468418421585
SILL 2,1960_treat_10,0.3813094466709983,0.0014544462085161062
ele 2 foundation displ,1960_treat_10,0.373667855461275,0.001841286029062174
foundation height,ele 2 foundation displ,0.37339426381306984,0.0018567058048985013
Coat 1 Cracking,Coat 1 Loss,0.36664720995121186,0.0022755418496420115
SILL 2,1960_treat_6,0.3661029979297597,0.0023127524204113008
Coat 1 Cracking,1960_treat_9,-0.36455402247921215,0.0024216607667797412
fireplace,PC mean,-0.3640679933425341,0.0024567659040331752
PC deviation,1960_treat_15,-0.36335546499387383,0.0025090528975864564
1960_treat_6,1960_treat_13,0.3565010226172355,0.0030651519637864308
elev 1 foundation disp,1960_treat_1,-0.35496301773308025,0.003204077148402756
elev 1 foundation disp,1960_treat_2,-0.35496301773308025,0.003204077148402756
Height,1960_treat_1,0.3520899544785937,0.0034786803925585565
Height,1960_treat_2,0.3520899544785937,0.0034786803925585565
ele 1 foundation mortar condition,ele 2 foundation displ,0.3483247119813593,0.003870132816211978
SILL 2,foundation height 2,0.3481341421402725,0.003890945366611265
SILL 2,1960_treat_9,0.34286151877352894,0.004507581008610371
SILL 2,fireplace,0.3417841413327632,0.004643726061288412
1960_treat_7,1960_treat_18,0.34129681581215565,0.004706493289869438
Out of Plane,PC deviation,-0.3410638847585184,0.004736758708570114
SILL 2,1960_treat_5,0.3402512976145477,0.0048436918046507495
foundation height,ele 2 foundation mortar condition,0.33848418925958607,0.005083627726992497
Sill 1,1960_treat_10,0.33493256469157767,0.005597802791367813
ele 2 foundation mortar condition,1960_treat_10,0.33472541906069414,0.0056291579704383235
1960_treat_10,1960_treat_15,0.3342789617107607,0.005697263857275892
Sill 1,1960_treat_6,0.3238375361165634,0.007511052657737012
foundation height,1960_treat_18,0.32260291997098306,0.007755831877139326
elev 1 foundation disp,ele 2 foundation displ,0.32060086323033843,0.008167616293190905
ele 1 foundation mortar condition,ele 2 foundation mortar condition,0.31915379846454633,0.008477027531661957
Coat 1 Cracking,1960_treat_7,-0.31753664732782594,0.00883487337725864
Out of Plane,ele 1 foundation mortar condition,0.3175233704226217,0.008837865033419086
fireplace,1960_treat_13,0.31305634217733397,0.009895971242174522
ele 2 foundation displ,1960_treat_7,0.31058979097627265,0.010526178897773462
1960_treat_4,1960_treat_5,0.31034591936362477,0.010590342114177455
Sill 1,PC mean,-0.30787750892728316,0.011259145681036382
foundation height 2,1960_treat_18,0.30087379246395773,0.013359860259995485
1960_treat_6,1960_treat_18,0.30082841879809347,0.013374503736359055
treatment_2,1960_treat_6,0.3008284187980934,0.013374503736359055
1960_treat_6,1960_treat_11,0.3008284187980934,0.013374503736359055
1960_treat_6,1960_treat_12,0.3008284187980934,0.013374503736359055
1960_treat_6,1960_treat_14,0.3008284187980934,0.013374503736359055
fireplace,1960_treat_10,0.3001047119997277,0.013609945740736745
Lintel Deteriration,Height,-0.2965292139339894,0.014826345008421265
fireplace,foundation height 2,0.29628527958550954,0.014912638532800114
Out of Plane,elev 1 foundation disp,0.2960379780728357,0.015000564011679495
Coat 2 WGT SCR,Lintel Deteriration,-0.29574253808890866,0.015106188947089066
Sill 1,fireplace,0.2946717866078727,0.01549437925785566
PC mean,1960_treat_5,-0.29454771297646115,0.015539910374085652
Structural Cracking,Cracking Wall Junction,0.2918634196342096,0.016553496351496597
Sill 1,1960_treat_5,0.29119456230508795,0.016814705977006877
