Variable 1,Variable 2,Correlation,p-value,num_occurrences
treatment_14,1960_treat_15,0.7017294652672369,3.7151145295473895e-11,67
treatment_15,1960_treat_15,0.7017294652672369,3.7151145295473895e-11,67
1960_treat_17,1960_treat_21,0.7017294652672369,3.7151145295473895e-11,67
treatment_5,treatment_6,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_10,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_11,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_12,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_13,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_14,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_15,0.6961432213383856,6.148079755809292e-11,67
treatment_6,treatment_16,0.6961432213383855,6.148079755809292e-11,67
treatment_6,treatment_17,0.6961432213383855,6.148079755809292e-11,67
treatment_6,treatment_18,0.6961432213383855,6.148079755809292e-11,67
treatment_6,treatment_19,0.6961432213383855,6.148079755809292e-11,67
1960_treat_3,1960_treat_4,0.6809523809523811,2.2874100434000813e-10,67
foundation height,elev 1 foundation disp,0.6474194898166531,3.206907492500435e-09,67
Cap Deterioration,foundation_score_mina,0.6468203965365508,3.351901430230783e-09,67
Cap Deterioration,Wall WGT SCR,0.6468203965007036,3.3519014390900664e-09,67
1960_treat_3,1960_treat_16,0.6338656910463873,8.520813704391751e-09,67
1960_treat_6,1960_treat_10,0.6315089779506726,1.0050240155078825e-08,67
1960_treat_11,1960_treat_13,0.61768799691953,2.574857949475638e-08,67
1960_treat_12,1960_treat_13,0.61768799691953,2.574857949475638e-08,67
1960_treat_13,1960_treat_14,0.61768799691953,2.574857949475638e-08,67
Cap Deterioration,Wall Rank,-0.6142184353437493,3.23769993905046e-08,67
Cap Deterioration,Total Scr,0.6055938882724979,5.654476482800177e-08,67
Out of Plane,Wall Rank,-0.5888394187264128,1.5951947803109238e-07,67
Out of Plane,Total Scr,0.5786061391679413,2.9216632523039504e-07,67
foundation height,foundation height 2,0.5756738471876518,3.4617613420068455e-07,67
fireplace,1960_treat_6,0.5737931640949342,3.8562791347278186e-07,67
Height,Wall WGT SCR,0.5725199942238969,4.146995352832852e-07,67
Height,foundation_score_mina,0.5725199941828732,4.1469953625243094e-07,67
treatment_3,treatment_20,0.5685352436149611,5.196021155327876e-07,67
Out of Plane,foundation_score_mina,0.5594324116589947,8.602805081249605e-07,67
Out of Plane,Wall WGT SCR,0.5594324116432875,8.602805088622874e-07,67
elev 1 foundation disp,ele 1 foundation mortar condition,0.5553848011238983,1.0713459424616438e-06,67
Height,Total Scr,0.5523812438590595,1.2584403185813118e-06,67
foundation height 2,ele 2 foundation displ,0.5490707240315587,1.500009380081259e-06,67
Structural Cracking,Wall Rank,-0.532895000442784,3.44530298146511e-06,67
Structural Cracking,Total Scr,0.5261347065277158,4.816110626954846e-06,67
Structural Cracking,foundation_score_mina,0.517141721897567,7.437462227934686e-06,67
Structural Cracking,Wall WGT SCR,0.5171417218567643,7.437462242391122e-06,67
foundation height,ele 1 foundation mortar condition,0.5081936861008077,1.1322844757789058e-05,67
foundation height 2,ele 2 foundation mortar condition,0.5013335513636121,1.550435483334914e-05,67
Height,1960_treat_11,-0.49555004920169426,2.0103396465115377e-05,67
Height,1960_treat_12,-0.49555004920169426,2.0103396465115377e-05,67
